department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AOE,2074,Computational Methods,Canfield,80324,3,2.45,26,11.5,42.3,23.1,23.1,0.0,2
AOE,2074,Computational Methods,Canfield,80325,3,2.96,29,17.2,62.1,20.7,0.0,0.0,1
AOE,2074,Computational Methods,Canfield,80326,3,2.97,32,25.0,46.9,25.0,3.1,0.0,1
AOE,2074,Computational Methods,Canfield,80327,3,2.86,27,22.2,51.9,18.5,7.4,0.0,0
AOE,2074,Computational Methods,Canfield,80328,3,2.46,26,11.5,34.6,38.5,15.4,0.0,0
AOE,2104,Intro to AE,Patil,80329,3,3.29,69,49.3,40.6,7.2,1.4,1.4,1
AOE,2104,Intro to AE,Patil,80330,3,3.29,62,43.5,46.8,8.1,1.6,0.0,1
AOE,2204,Intro to Ocean Engineering,Xiao,80331,3,2.80,23,30.4,34.8,26.1,4.3,4.3,0
AOE,3014,Aero/Hydrodynamics,Roy,80332,3,2.46,123,10.6,36.6,39.0,12.2,1.6,5
AOE,3024,Thin-Walled Structures,Seidel,80333,3,3.16,68,39.7,44.1,11.8,4.4,0.0,3
AOE,3024,Thin-Walled Structures,Seidel,80334,3,3.29,56,42.9,46.4,7.1,1.8,1.8,0
AOE,3034,Vehicle Vibration and Control,Philen,80335,3,3.00,78,25.6,53.8,19.2,0.0,1.3,0
AOE,3034,Vehicle Vibration and Control,Philen,80336,3,3.11,48,35.4,41.7,20.8,2.1,0.0,0
AOE,3044,Boundary Layer Theory,Schetz,80337,3,3.04,164,24.4,56.7,14.6,3.7,0.6,0
AOE,4004,CAD Controls,Farhood,80338,3,3.07,29,34.5,48.3,13.8,3.4,0.0,4
AOE,4065,Aircraft Design,Raj,80339,3,3.19,95,37.9,44.2,15.8,2.1,0.0,0
AOE,4134,Astromechanics,Black,80340,3,3.39,78,47.4,44.9,7.7,0.0,0.0,1
AOE,4134,Astromechanics,Tahmasian,80341,3,2.88,37,27.0,45.9,18.9,5.4,2.7,4
AOE,4154,Aero Engr Lab,Ma,80342,1,3.09,16,31.3,50.0,18.8,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80343,1,3.21,16,31.3,62.5,6.3,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80344,1,3.15,16,37.5,50.0,6.3,6.3,0.0,0
AOE,4154,Aero Engr Lab,Ma,80345,1,3.28,16,37.5,56.3,6.3,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80346,1,2.88,16,31.3,50.0,6.3,0.0,12.5,0
AOE,4154,Aero Engr Lab,Ma,80347,1,3.10,17,23.5,64.7,11.8,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80348,1,3.06,16,31.3,56.3,6.3,0.0,6.3,0
AOE,4154,Aero Engr Lab,Ma,80349,1,3.23,16,31.3,62.5,6.3,0.0,0.0,0
AOE,4165,Spacecraft Design,Shinpaugh,80350,3,3.52,53,58.5,41.5,0.0,0.0,0.0,0
AOE,4234,Aerospace Propulsion Systems,Lowe,80351,3,3.20,152,33.6,55.9,8.6,1.3,0.7,0
AOE,4254,Ocean Engineering Laboratory,Neu,80352,1,3.34,11,45.5,45.5,9.1,0.0,0.0,0
AOE,4254,Ocean Engineering Laboratory,Neu,80353,1,3.34,19,52.6,31.6,15.8,0.0,0.0,0
AOE,4264,Principles Naval Engineering,Brown,80355,3,3.60,23,65.2,34.8,0.0,0.0,0.0,0
AOE,4265,Ship Design,Brown,80356,3,3.54,22,59.1,40.9,0.0,0.0,0.0,0
AOE,4334,Ship Dynamics,McCue-Weil,80358,3,3.64,37,70.3,27.0,2.7,0.0,0.0,0
AOE,4434,Intro Comp Fluid Dynamics,Choi,80359,3,2.78,16,31.3,37.5,18.8,12.5,0.0,1
AOE,4994,Undergraduate Research,Woolsey,80363,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
AOE,5024,Vehicle Structures,Kapania,80378,3,3.34,30,56.7,33.3,3.3,3.3,3.3,0
AOE,5104,Adv Aero Hydrody,Devenport,80380,3,3.12,37,35.1,48.6,13.5,0.0,2.7,0
AOE,5204,Vehicle Dynamics and Control,Sultan,80382,3,3.02,31,41.9,29.0,25.8,0.0,3.2,0
AOE,5074,Adv Ship Structural Analysis,Hughes,88487,3,3.61,10,70.0,30.0,0.0,0.0,0.0,0
AOE,5204,Vehicle Dynamics and Control,Sultan,88702,3,3.38,17,47.1,47.1,5.9,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,88728,1,2.94,16,18.8,68.8,6.3,0.0,6.3,0
AOE,4154,Aero Engr Lab,Ma,88729,1,3.18,15,20.0,80.0,0.0,0.0,0.0,0
AOE,4984,SS:Advanced Space Avionics,Earle,89149,3,2.86,25,36.0,24.0,36.0,4.0,0.0,1

