department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AOE,3054,AOE Experimental Methods,Borgoltz,10356,3,3.39,100,57.0,35.0,5.0,0.0,3.0,1
AOE,3094,Materials for Aero & Ocean Eng,Clark,10369,3,2.87,71,25.4,47.9,19.7,4.2,2.8,2
AOE,3094,Materials for Aero & Ocean Eng,Clark,10370,3,3.14,90,35.6,48.9,12.2,1.1,2.2,2
AOE,3104,Aircraft Performance,Adams,10371,3,3.23,133,16.5,80.5,3.0,0.0,0.0,3
AOE,3114,Compressible Aerodynamics,Devenport,10372,3,3.17,89,34.8,51.7,11.2,1.1,1.1,2
AOE,3124,Aerospace Structures,Patil,10373,3,2.96,60,30.0,48.3,11.7,6.7,3.3,1
AOE,3124,Aerospace Structures,Patil,10374,3,3.30,47,57.4,23.4,14.9,4.3,0.0,0
AOE,3134,Stability and Control,Woolsey,10375,3,3.02,55,40.0,29.1,29.1,1.8,0.0,0
AOE,3204,Naval Architecture,Alexander,10376,3,2.78,33,15.2,54.5,24.2,3.0,3.0,2
AOE,3224,Ocean Structures,Wang,10377,3,3.04,20,20.0,70.0,5.0,5.0,0.0,1
AOE,3264,Res & Prop Of Ships,Paterson,10378,3,3.38,16,37.5,62.5,0.0,0.0,0.0,0
AOE,4064,Fluid Flows in Nature,Schetz,10379,3,2.67,62,8.1,56.5,32.3,3.2,0.0,4
AOE,4066,Aircraft Design,Raj,10381,3,3.40,71,60.6,22.5,14.1,2.8,0.0,0
AOE,4084,Engr Design Optimiz,Canfield,10382,3,3.65,15,66.7,33.3,0.0,0.0,0.0,0
AOE,4124,Configuration Aerodynamics,Mason,10384,3,3.36,18,50.0,38.9,11.1,0.0,0.0,0
AOE,4140,Spacecraft Dynamics & Control,Sultan,10385,3,3.15,48,41.7,35.4,18.8,2.1,2.1,0
AOE,4166,Spacecraft Design,Shinpaugh,10386,3,3.39,61,42.6,47.5,9.8,0.0,0.0,0
AOE,4174,Spacecraft Propulsion,Srinivasan,10387,3,3.66,21,71.4,28.6,0.0,0.0,0.0,1
AOE,4214,Ocean Wave Mechanics,Xiao,10388,3,3.70,29,79.3,17.2,3.4,0.0,0.0,0
AOE,4244,Marine Engineering,Xiao,10389,3,3.56,22,68.2,22.7,9.1,0.0,0.0,0
AOE,4266,Ship Design,Brown,10390,3,3.69,16,81.3,12.5,6.3,0.0,0.0,0
AOE,4404,Applied Numerical Methods,Choi,10391,3,3.53,27,55.6,44.4,0.0,0.0,0.0,2
AOE,4404,Applied Numerical Methods,Massa,10392,3,3.51,16,75.0,12.5,12.5,0.0,0.0,2
AOE,4404,Applied Numerical Methods,Choi,10393,3,3.04,12,16.7,83.3,0.0,0.0,0.0,0
AOE,4404,Applied Numerical Methods,Choi,10394,3,3.64,14,78.6,21.4,0.0,0.0,0.0,0
AOE,5114,High Speed Aerodynamics,Adams,10423,3,3.42,13,30.8,69.2,0.0,0.0,0.0,0
AOE,5144,Boundary-Layer Theory,Schetz,10426,3,3.85,11,90.9,9.1,0.0,0.0,0.0,0
AOE,5234,Orbital Mechanics,Black,10427,3,3.85,13,92.3,7.7,0.0,0.0,0.0,0
AOE,2114,Fundamentals Flight Training,Weaver,18926,2,3.29,47,31.9,61.7,4.3,2.1,0.0,3
AOE,4984,SS: Electronics for AOE,Philen,19427,3,3.82,40,87.5,12.5,0.0,0.0,0.0,0
AOE,5984,SS: Data Analysis in Fluid Dyn,Lowe,19500,3,3.82,12,91.7,8.3,0.0,0.0,0.0,0
AOE,4984,SS: Ethics in Autonomous Syst,Woolsey,19524,3,3.79,27,88.9,11.1,0.0,0.0,0.0,0
AOE,4984,SS: Spacecraft PNT/Orbit Det,Psiaki,19709,3,3.34,10,40.0,60.0,0.0,0.0,0.0,1

