department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
BIT,2405,Quantitative Methods,Jones,81110,3,3.32,373,52.0,31.6,13.4,2.7,0.3,7
BIT,2405,Quantitative Methods,Nottingham,81113,3,2.62,89,14.6,43.8,29.2,10.1,2.2,14
BIT,2406,Quantitative Methods,Teets,81114,3,3.44,95,58.9,29.5,10.5,0.0,1.1,1
BIT,2406,Quantitative Methods,Teets,81115,3,3.41,61,55.7,31.1,11.5,0.0,1.6,1
BIT,2406,Quantitative Methods,Teets,81116,3,3.55,121,62.0,31.4,5.8,0.8,0.0,0
BIT,3414,Operations & Supply Chain Mgt,Matheson,81117,3,3.17,38,28.9,57.9,13.2,0.0,0.0,0
BIT,3414,Operations & Supply Chain Mgt,Clark,81118,3,2.78,70,30.0,37.1,18.6,10.0,4.3,1
BIT,3414,Operations & Supply Chain Mgt,Russell,81119,3,2.84,87,16.1,55.2,26.4,2.3,0.0,3
BIT,3414,Operations & Supply Chain Mgt,Clark,81120,3,3.00,91,31.9,46.2,18.7,2.2,1.1,3
BIT,3414,Operations & Supply Chain Mgt,Clark,81121,3,2.84,86,23.3,46.5,23.3,5.8,1.2,4
BIT,3414,Operations & Supply Chain Mgt,Clark,81123,3,2.90,115,25.2,45.2,25.2,4.3,0.0,8
BIT,3424,Intro Bus Analytics Modeling,Seref,81124,3,3.28,79,51.9,30.4,13.9,2.5,1.3,4
BIT,3424,Intro Bus Analytics Modeling,Abrahams,81125,3,3.49,55,58.2,34.5,7.3,0.0,0.0,3
BIT,3434,Adv Modeling for Bus Analytics,Rakes,81126,3,3.34,56,48.2,37.5,14.3,0.0,0.0,0
BIT,3444,Adv Bus Comp and App,Wang,81128,3,3.01,31,41.9,25.8,25.8,3.2,3.2,3
BIT,3444,Adv Bus Comp and App,Wang,81129,3,3.09,34,41.2,32.4,20.6,5.9,0.0,2
BIT,3454,Business Process Improvement,Cook,81130,3,2.99,42,31.0,40.5,26.2,2.4,0.0,2
BIT,3464,Enterprise Planning & Control,Khansa,81131,3,3.30,43,39.5,53.5,7.0,0.0,0.0,0
BIT,3954,Study Abroad,Matheson,81132,3,4.00,33,100.0,0.0,0.0,0.0,0.0,0
BIT,4434,Comp Sim In Bus,Rees,81133,3,3.76,56,80.4,19.6,0.0,0.0,0.0,0
BIT,4444,Web-Based DSS,Zobel,81134,3,3.20,61,34.4,50.8,13.1,1.6,0.0,0
BIT,4444,Web-Based DSS,Zobel,81135,3,2.95,23,26.1,47.8,17.4,8.7,0.0,1
BIT,4454,Bus Analysis Seminar in IT,Abrahams,81136,3,3.54,18,61.1,33.3,5.6,0.0,0.0,0
BIT,4464,Adv Supply Chain Mgt,Cook,81137,3,3.38,39,48.7,48.7,2.6,0.0,0.0,0
BIT,4474,Global Ops & Info Technology,Matheson,81138,3,3.99,37,100.0,0.0,0.0,0.0,0.0,0
BIT,4484,Project Management,Badinelli,81139,3,3.06,27,25.9,55.6,14.8,3.7,0.0,2
BIT,4484,Project Management,Badinelli,81140,3,3.15,73,32.9,54.8,11.0,1.4,0.0,2
BIT,4514,Database Technology for Bus,Deane,81141,3,3.23,68,27.9,66.2,5.9,0.0,0.0,0
BIT,4524,Systems Development,Deane,81142,3,3.02,38,36.8,42.1,13.2,7.9,0.0,0
BIT,4554,Networks & Telecomm Business,Rakes,81143,3,2.87,49,28.6,42.9,20.4,6.1,2.0,1
BIT,4614,Information Security,James,81144,3,3.44,14,64.3,28.6,0.0,7.1,0.0,1
BIT,5414,POM in a Global Environment,Russell,81148,3,3.69,36,77.8,19.4,2.8,0.0,0.0,0
BIT,5474,Computer-Based Dec Sup Sys,Ragsdale,86562,3,3.40,26,57.7,34.6,0.0,7.7,0.0,0
BIT,5644,Mgt of Info for Bus Decisions,Ragsdale,86810,2,3.44,33,57.6,36.4,6.1,0.0,0.0,0
BIT,5654,Project Management,Badinelli,86811,2,3.36,26,42.3,50.0,7.7,0.0,0.0,0
BIT,5414,POM in a Global Environment,Hoopes,86914,3,3.79,26,84.6,15.4,0.0,0.0,0.0,0
BIT,5624,Project Management,Hoopes,86917,3,3.96,25,100.0,0.0,0.0,0.0,0.0,0
BIT,5644,Mgt of Info for Bus Decisions,Abrahams,86918,2,3.98,14,100.0,0.0,0.0,0.0,0.0,0
BIT,5664,Managing Global Supply Chain,Deane,86919,2,3.67,22,72.7,22.7,4.5,0.0,0.0,0
BIT,4434,Comp Sim In Bus,Rees,88038,3,3.81,41,85.4,14.6,0.0,0.0,0.0,0
BIT,2405,Quantitative Methods,Nottingham,88040,3,2.49,198,16.2,34.3,36.9,7.6,5.1,32
BIT,2406,Quantitative Methods,Teets,88041,3,3.54,72,68.1,20.8,11.1,0.0,0.0,0
BIT,4474,Global Ops & Info Technology,Khansa,88042,3,3.32,24,37.5,58.3,4.2,0.0,0.0,0
BIT,5624,Project Management,Hoopes,88058,2,3.96,22,100.0,0.0,0.0,0.0,0.0,0
BIT,5984,SS:Intro to Bus Intell & Analy,Hoopes,89021,3,3.37,35,54.3,34.3,8.6,2.9,0.0,0

