department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
CS,1044,Intro Prog in C,Stevens,82113,3,2.74,214,24.8,38.8,23.8,10.3,2.3,20
CS,1044,Intro Prog in C,Stevens,82114,3,2.57,239,16.3,45.2,22.2,10.0,6.3,31
CS,1054,Intro to Programming in Java,Lewis,82115,3,3.51,36,50.0,50.0,0.0,0.0,0.0,1
CS,1054,Intro to Programming in Java,Lewis,82116,3,3.23,29,41.4,51.7,3.4,0.0,3.4,2
CS,1054,Intro to Programming in Java,Lewis,82117,3,3.57,30,53.3,46.7,0.0,0.0,0.0,2
CS,1054,Intro to Programming in Java,Lewis,82118,3,3.66,29,75.9,20.7,0.0,3.4,0.0,0
CS,1054,Intro to Programming in Java,Lewis,82119,3,3.49,31,58.1,38.7,3.2,0.0,0.0,0
CS,1114,Intro to Software Design,Barnette,82120,3,2.75,25,16.0,56.0,20.0,8.0,0.0,3
CS,1114,Intro to Software Design,Barnette,82121,3,2.85,30,30.0,46.7,16.7,3.3,3.3,1
CS,1114,Intro to Software Design,Barnette,82122,3,2.60,24,25.0,33.3,29.2,8.3,4.2,5
CS,1114,Intro to Software Design,Barnette,82123,3,2.89,26,38.5,34.6,15.4,7.7,3.8,2
CS,1114,Intro to Software Design,Barnette,82124,3,2.38,20,10.0,55.0,10.0,20.0,5.0,5
CS,2104,Intro to Problem Solving in CS,Ellis,82129,3,3.28,43,51.2,39.5,2.3,4.7,2.3,0
CS,2104,Intro to Problem Solving in CS,Ellis,82130,3,3.24,44,43.2,43.2,11.4,0.0,2.3,0
CS,2104,Intro to Problem Solving in CS,Barnette,82131,3,2.98,56,26.8,50.0,17.9,5.4,0.0,0
CS,2114,Softw Des & Data Structures,Barnette,82132,3,3.42,19,63.2,31.6,0.0,5.3,0.0,0
CS,2114,Softw Des & Data Structures,Perez-Quinonez,82133,3,3.19,30,33.3,60.0,3.3,3.3,0.0,2
CS,2114,Softw Des & Data Structures,Perez-Quinonez,82134,3,3.40,27,51.9,44.4,3.7,0.0,0.0,1
CS,2114,Softw Des & Data Structures,Perez-Quinonez,82136,3,3.35,28,60.7,32.1,3.6,0.0,3.6,2
CS,2114,Softw Des & Data Structures,Barnette,82137,3,3.20,28,50.0,42.9,0.0,0.0,7.1,2
CS,2114,Softw Des & Data Structures,Barnette,82138,3,3.40,27,55.6,37.0,7.4,0.0,0.0,0
CS,2304,Self Study Prog Sys,Monti,82139,1,3.22,42,73.8,7.1,2.4,0.0,16.7,4
CS,2505,Intro Computer Organization,Monti,82140,3,2.74,54,29.6,27.8,33.3,3.7,5.6,10
CS,2505,Intro Computer Organization,McQuain,82141,3,2.74,70,17.1,44.3,34.3,1.4,2.9,9
CS,2506,Intro to Computer Organization,Lee,82142,3,2.36,71,12.7,32.4,38.0,8.5,8.5,11
CS,2506,Intro to Computer Organization,McQuain,82143,3,2.58,60,15.0,50.0,21.7,5.0,8.3,10
CS,2974,Independent Study,Back,82145,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
CS,3114,Data Structures and Algorithms,Shaffer,82147,3,2.81,71,35.2,28.2,23.9,7.0,5.6,15
CS,3114,Data Structures and Algorithms,Shaffer,82148,3,3.04,65,35.4,40.0,16.9,4.6,3.1,10
CS,3214,Computer Systems,Back,82149,3,2.81,35,22.9,54.3,14.3,0.0,8.6,6
CS,3214,Computer Systems,McQuain,82150,3,2.96,53,30.2,45.3,20.8,0.0,3.8,9
CS,3304,Comparative Languages,Arthur,82151,3,2.93,84,33.3,36.9,19.0,9.5,1.2,4
CS,3604,Professionalism in Computing,Dunlap,82153,3,3.20,52,50.0,25.0,23.1,1.9,0.0,2
CS,3604,Professionalism in Computing,Tatar,82154,3,3.00,25,40.0,40.0,16.0,0.0,4.0,0
CS,3714,Mobile Software Development,Balci,82155,3,3.60,42,69.0,26.2,2.4,2.4,0.0,0
CS,3724,Human-Computr Intrctn,McCrickard,82156,3,3.54,66,65.2,30.3,1.5,3.0,0.0,1
CS,3744,Intro GUI Programming/Graphics,Gracanin,82157,3,3.17,53,54.7,22.6,13.2,5.7,3.8,3
CS,3824,Intro Comp Bio Bioinformatics,Heath,82158,3,3.24,16,31.3,56.3,12.5,0.0,0.0,0
CS,4104,Data and Algorithm Analysis,Raghvendra,82159,3,2.60,64,18.8,45.3,29.7,6.3,0.0,1
CS,4124,Theory of Computation,Watson,82160,3,2.47,23,17.4,43.5,17.4,13.0,8.7,4
CS,4234,Parallel Computation,Cameron,82161,3,3.33,30,46.7,43.3,3.3,6.7,0.0,0
CS,4264,Principles Computer Security,Yao,82162,3,3.33,30,43.3,46.7,10.0,0.0,0.0,0
CS,4284,Systems & Networking Capstone,Butt,82163,3,3.61,24,75.0,25.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Arthur,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Balci,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Cameron,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Gracanin,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Raghvendra,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Ribbens,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Tatar,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4974,Independent Study,Watson,82170,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,4994,Undergraduate Research,Arthur,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Cameron,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Dunlap,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Gracanin,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Heath,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,McCrickard,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,McQuain,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Raghvendra,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Ribbens,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Tatar,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Watson,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,4994,Undergraduate Research,Yao,82171,1,3.98,17,100.0,0.0,0.0,0.0,0.0,1
CS,5014,Research Meth in CS,Tilevich,82172,3,3.85,35,88.6,11.4,0.0,0.0,0.0,0
CS,5045,Computation for Life Sciences,Zhang,82173,3,3.58,12,58.3,41.7,0.0,0.0,0.0,0
CS,5204,Operating Systems,Butt,82174,3,3.54,18,55.6,44.4,0.0,0.0,0.0,0
CS,5314,Programming Languages,Edwards,82176,3,3.67,18,66.7,33.3,0.0,0.0,0.0,0
CS,5525,Data Analytics,Ramakrishnan,82180,3,3.23,26,50.0,38.5,7.7,0.0,3.8,0
CS,5724,Models of HCI,Harrison,82183,3,3.87,12,91.7,8.3,0.0,0.0,0.0,0
CS,1604,Introduction to the Internet,Luke,86568,1,3.10,48,41.7,43.8,8.3,0.0,6.3,3
CS,5044,Object-Oriented Pgmming Java,Lewis,86569,3,3.61,39,74.4,15.4,7.7,0.0,2.6,0
CS,5244,Internet Software,Oliva,86570,3,3.33,10,40.0,50.0,10.0,0.0,0.0,0
CS,5704,Software Engineering,Kulczycki,86572,3,3.50,28,60.7,32.1,7.1,0.0,0.0,0
CS,5704,Software Engineering,Kulczycki,86573,3,3.09,15,40.0,46.7,6.7,0.0,6.7,0
CS,5744,Software Design and Quality,Fant,86574,3,3.49,25,64.0,28.0,8.0,0.0,0.0,0
CS,5214,Mod & Eval Comp Sys,Chen,86973,3,3.53,11,63.6,36.4,0.0,0.0,0.0,0
CS,5314,Programming Languages,Edwards,86974,3,3.57,13,61.5,38.5,0.0,0.0,0.0,0
CS,5124,Algorithms in Bioinformatics,Zhang,88118,3,3.44,18,38.9,61.1,0.0,0.0,0.0,0
CS,5614,Database Management Systems,Prakash,88121,3,3.91,24,95.8,4.2,0.0,0.0,0.0,0
CS,6204,TS:Adv Top in Emergent Systems,Cameron,88123,3,4.00,13,100.0,0.0,0.0,0.0,0.0,0
CS,2984,SS:Intro to Comp Thinking,Kafura,88531,3,3.38,24,50.0,41.7,4.2,4.2,0.0,2
CS,5774,User Interface Software,Luther,88569,3,3.90,19,94.7,5.3,0.0,0.0,0.0,0
CS,5764,Information Visualization,North,88570,3,3.85,19,94.7,5.3,0.0,0.0,0.0,0
CS,3414,Numerical Methods,Watson,88572,3,2.57,14,14.3,35.7,42.9,7.1,0.0,3
CS,1114,Intro to Software Design,Barnette,88574,3,2.26,29,13.8,41.4,24.1,10.3,10.3,2
CS,3704,Intermed Software Des,Soundararajan,88586,3,3.37,33,54.5,39.4,3.0,3.0,0.0,1
CS,4984,SS:Computational Linguistics,Fox,88630,3,3.30,30,43.3,46.7,6.7,0.0,3.3,0
CS,5560,Network and Computer Security,Park,88660,3,3.40,11,45.5,54.5,0.0,0.0,0.0,0
CS,5525,Data Analytics,Ramakrishnan,88701,3,3.34,19,42.1,52.6,5.3,0.0,0.0,0
CS,4984,SS:Software Eng Capstone,Balci,88720,3,3.26,28,46.4,32.1,21.4,0.0,0.0,0
CS,3654,Intro Data Analytics & Visual,Olteanu Roberts,88805,3,3.87,22,90.9,9.1,0.0,0.0,0.0,0
CS,2114,Softw Des & Data Structures,Barnette,89139,3,2.92,30,36.7,43.3,10.0,3.3,6.7,4
CS,2114,Softw Des & Data Structures,Perez-Quinonez,89142,3,3.35,23,65.2,17.4,13.0,0.0,4.3,1
CS,1114,Intro to Software Design,Soundararajan,89144,3,2.67,20,30.0,40.0,10.0,10.0,10.0,9
CS,1114,Intro to Software Design,Soundararajan,89145,3,2.55,25,12.0,56.0,20.0,4.0,8.0,1
CS,4204,Computer Graphics,Cao,89242,3,3.00,12,33.3,33.3,33.3,0.0,0.0,2
CS,1054,Intro to Programming in Java,Lewis,89246,3,3.46,23,65.2,30.4,0.0,0.0,4.3,0
CS,1114,Intro to Software Design,Soundararajan,89275,3,3.04,28,35.7,53.6,0.0,7.1,3.6,0
CS,1054,Intro to Programming in Java,Hafeez,89456,3,3.09,21,66.7,14.3,4.8,0.0,14.3,0
