department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
CS,1044,Intro Prog in C,Monti,12481,3,3.12,143,53.1,24.5,11.9,3.5,7.0,9
CS,1044,Intro Prog in C,Monti,12482,3,3.34,106,57.5,30.2,4.7,3.8,3.8,7
CS,1054,Intro to Programming in Java,Lewis,12483,3,3.24,31,41.9,41.9,16.1,0.0,0.0,1
CS,1054,Intro to Programming in Java,Lewis,12484,3,2.94,35,22.9,54.3,20.0,2.9,0.0,1
CS,1054,Intro to Programming in Java,Lewis,12485,3,2.73,34,14.7,44.1,41.2,0.0,0.0,2
CS,1054,Intro to Programming in Java,Lewis,12486,3,2.69,28,3.6,64.3,28.6,3.6,0.0,3
CS,1054,Intro to Programming in Java,Lewis,12487,3,2.67,32,9.4,53.1,34.4,3.1,0.0,2
CS,1054,Intro to Programming in Java,Lewis,12488,3,2.79,29,20.7,41.4,37.9,0.0,0.0,2
CS,1064,Intro to Programming in Python,Rajamohan,12489,3,3.15,124,28.2,57.3,12.9,0.0,1.6,8
CS,1114,Intro to Software Design,Irwin,12490,3,2.41,33,24.2,24.2,24.2,24.2,3.0,1
CS,1114,Intro to Software Design,Barnette,12491,3,2.52,31,25.8,35.5,19.4,6.5,12.9,2
CS,1114,Intro to Software Design,Edwards,12492,3,2.69,24,33.3,33.3,12.5,8.3,12.5,3
CS,1114,Intro to Software Design,Edwards,12493,3,2.58,19,21.1,31.6,21.1,26.3,0.0,6
CS,1114,Intro to Software Design,Barnette,12494,3,2.01,24,8.3,29.2,41.7,4.2,16.7,3
CS,1114,Intro to Software Design,Edwards,12495,3,2.74,25,20.0,48.0,28.0,0.0,4.0,3
CS,1114,Intro to Software Design,Edwards,12496,3,2.67,23,21.7,30.4,34.8,13.0,0.0,4
CS,1114,Intro to Software Design,Barnette,12497,3,2.24,28,7.1,42.9,25.0,21.4,3.6,3
CS,1114,Intro to Software Design,Edwards,12498,3,2.52,22,22.7,31.8,27.3,13.6,4.5,5
CS,1114,Intro to Software Design,Irwin,12499,3,2.41,27,11.1,33.3,37.0,14.8,3.7,3
CS,1114,Intro to Software Design,Barnette,12500,3,2.51,29,24.1,37.9,13.8,10.3,13.8,3
CS,1604,Introduction to the Internet,Altarawy,12501,1,3.59,131,73.3,19.8,2.3,3.1,1.5,1
CS,2104,Intro to Problem Solving in CS,Watson,12503,3,2.71,16,12.5,50.0,37.5,0.0,0.0,2
CS,2104,Intro to Problem Solving in CS,Barnette,12504,3,3.42,33,63.6,33.3,3.0,0.0,0.0,0
CS,2104,Intro to Problem Solving in CS,Onufriev,12505,3,2.97,35,22.9,48.6,25.7,2.9,0.0,0
CS,2114,Softw Des & Data Structures,Ellis,12506,3,3.13,26,42.3,34.6,23.1,0.0,0.0,2
CS,2114,Softw Des & Data Structures,Ellis,12507,3,2.95,25,36.0,24.0,40.0,0.0,0.0,1
CS,2114,Softw Des & Data Structures,Ellis,12508,3,3.26,24,41.7,50.0,8.3,0.0,0.0,2
CS,2114,Softw Des & Data Structures,Ellis,12509,3,3.04,28,32.1,50.0,14.3,3.6,0.0,0
CS,2114,Softw Des & Data Structures,Ellis,12510,3,3.06,24,41.7,33.3,16.7,8.3,0.0,0
CS,2114,Softw Des & Data Structures,Ellis,12511,3,2.80,23,26.1,52.2,13.0,0.0,8.7,0
CS,2114,Softw Des & Data Structures,Ellis,12512,3,3.35,24,62.5,16.7,20.8,0.0,0.0,2
CS,2114,Softw Des & Data Structures,Ellis,12513,3,2.96,28,35.7,39.3,21.4,3.6,0.0,0
CS,2304,Self Study Prog Sys,Hartsock,12514,1,2.95,42,57.1,11.9,9.5,11.9,9.5,5
CS,2505,Intro Computer Organization,Monti,12515,3,2.67,74,12.2,54.1,25.7,4.1,4.1,5
CS,2505,Intro Computer Organization,Jung,12516,3,2.60,114,14.9,43.9,30.7,7.9,2.6,7
