department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ECE,1574,Engr Problem Solving with C++,McPherson,82291,3,3.53,87,67.8,23.0,4.6,4.6,0.0,3
ECE,1574,Engr Problem Solving with C++,McPherson,82292,3,3.62,79,77.2,13.9,8.9,0.0,0.0,0
ECE,2004,Electric Circuit Analysis,De La Reelopez,82293,3,2.45,109,14.7,42.2,29.4,7.3,6.4,20
ECE,2004,Electric Circuit Analysis,Safaai-Jazi,82294,3,2.52,63,27.0,25.4,33.3,4.8,9.5,21
ECE,2014,Engr Professionalism ECE,Pendleton,82295,2,2.65,115,11.3,52.2,33.0,2.6,0.9,4
ECE,2014,Engr Professionalism ECE,Pendleton,82297,2,2.56,85,7.1,54.1,31.8,4.7,2.4,1
ECE,2054,Applied Electrical Theory,Orlowski,82299,3,3.51,147,65.3,25.9,8.2,0.0,0.7,1
ECE,2074,Electic Circuit Analysis Lab,Sweeney,82300,1,3.01,211,55.5,16.1,13.7,6.2,8.5,5
ECE,2204,Electronics,Hudait,82301,3,3.19,91,27.5,64.8,7.7,0.0,0.0,3
ECE,2274,Elctrnc Netwks Lab I,Cooper,82302,1,3.61,15,80.0,13.3,6.7,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82303,1,3.69,13,76.9,15.4,7.7,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82304,1,3.85,16,81.3,18.8,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82305,1,3.53,10,60.0,30.0,10.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82306,1,3.73,15,73.3,26.7,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82307,1,3.59,10,50.0,50.0,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82308,1,3.67,15,73.3,26.7,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82309,1,3.20,16,31.3,50.0,18.8,0.0,0.0,0
ECE,2500,Computer Org & Architecture,Nazhandali,82310,3,2.49,54,25.9,33.3,16.7,14.8,9.3,8
ECE,2504,Intro Computer Engr,Dunning,82311,3,2.25,56,16.1,28.6,32.1,12.5,10.7,5
