department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ECE,1574,Engr Problem Solving with C++,McPherson,12658,3,3.36,67,67.2,16.4,10.4,3.0,3.0,2
ECE,1574,Engr Problem Solving with C++,McPherson,12659,3,3.79,62,82.3,14.5,3.2,0.0,0.0,2
ECE,1574,Engr Problem Solving with C++,McPherson,12660,3,3.49,61,67.2,23.0,6.6,0.0,3.3,2
ECE,1574,Engr Problem Solving with C++,McPherson,12661,3,3.69,67,73.1,23.9,1.5,0.0,1.5,2
ECE,2004,Electric Circuit Analysis,Ha,12662,3,2.23,100,9.0,28.0,43.0,17.0,3.0,7
ECE,2004,Electric Circuit Analysis,Safaai-Jazi,12663,3,2.84,57,19.3,49.1,26.3,3.5,1.8,4
ECE,2054,Applied Electrical Theory,Orlowski,12670,3,3.84,121,90.1,9.1,0.8,0.0,0.0,0
ECE,2054,Applied Electrical Theory,Ball,12671,3,3.00,94,27.7,47.9,22.3,2.1,0.0,6
ECE,2074,Electic Circuit Analysis Lab,Sweeney,12672,1,3.07,134,51.5,26.1,9.0,7.5,6.0,7
ECE,2164,Exploration of Space,Baker,12673,3,2.88,34,47.1,23.5,11.8,11.8,5.9,1
ECE,2204,Electronics,Guido,12674,3,2.61,45,22.2,37.8,22.2,13.3,4.4,1
ECE,2204,Electronics,Ball,12675,3,2.90,95,41.1,23.2,25.3,8.4,2.1,3
ECE,2274,Elctrnc Netwks Lab I,Cooper,12676,1,3.87,10,90.0,10.0,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,12677,1,3.96,16,93.8,6.3,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,12680,1,3.48,16,68.8,18.8,6.3,6.3,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,12681,1,3.71,16,81.3,6.3,12.5,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,12682,1,3.90,16,93.8,6.3,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,12683,1,3.87,15,93.3,6.7,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,12684,1,3.64,14,64.3,28.6,7.1,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,12686,1,3.65,14,78.6,14.3,7.1,0.0,0.0,0
ECE,2500,Computer Org & Architecture,Nazhandali,12688,3,3.40,57,57.9,29.8,10.5,0.0,1.8,1
ECE,2504,Intro Computer Engr,Dunning,12689,3,2.30,55,20.0,23.6,40.0,3.6,12.7,3
ECE,2504,Intro Computer Engr,Martin,12690,3,2.28,40,20.0,30.0,25.0,12.5,12.5,2
ECE,2504,Intro Computer Engr,Thweatt,12691,3,2.38,58,13.8,36.2,34.5,6.9,8.6,3
ECE,2524,Intro to Unix for Engineers,Abbott,12692,2,2.56,83,19.3,42.2,21.7,10.8,6.0,1
ECE,2534,Microcontroller Interfacing,Zeng,12693,4,2.27,38,18.4,28.9,31.6,5.3,15.8,1
ECE,2534,Microcontroller Interfacing,Baumann,12694,4,2.43,40,15.0,35.0,30.0,17.5,2.5,7
ECE,2534,Microcontroller Interfacing,Cooper,12695,4,2.68,44,40.9,22.7,13.6,9.1,13.6,7
ECE,2534,Microcontroller Interfacing,Cooper,12696,4,2.67,47,31.9,29.8,21.3,8.5,8.5,6
ECE,2534,Microcontroller Interfacing,Thweatt,12697,4,2.03,40,20.0,17.5,30.0,10.0,22.5,4
ECE,2574,Data Structures and Algorithms,Batra,12698,3,2.92,43,30.2,44.2,11.6,9.3,4.7,2
ECE,2574,Data Structures and Algorithms,Li,12699,3,2.55,60,30.0,18.3,41.7,5.0,5.0,5
ECE,2704,Signals and Systems,Stilwell,12700,3,2.97,88,44.3,20.5,26.1,3.4,5.7,6
ECE,2704,Signals and Systems,Stilwell,12701,3,2.93,84,42.9,25.0,23.8,4.8,3.6,7
ECE,3004,AC Circuit Analysis,Manteghi,12706,3,2.29,68,7.4,30.9,47.1,14.7,0.0,0
ECE,3054,Electrical Theory,Lindner,12707,3,3.47,56,60.7,28.6,10.7,0.0,0.0,1
ECE,3074,AC Circuit Analysis Laboratory,Sweeney,12708,1,3.04,67,53.7,19.4,11.9,7.5,7.5,0
ECE,3105,Electromagnetic Fields,Bailey,12709,3,3.03,90,50.0,24.4,15.6,5.6,4.4,2
ECE,3106,Electromagnetic Fields,Poon,12710,3,2.56,50,22.0,32.0,34.0,8.0,4.0,5
ECE,3106,Electromagnetic Fields,Poon,12711,3,2.07,32,3.1,31.3,43.8,18.8,3.1,4
ECE,3204,Analog Electronics,Li,12712,3,3.07,63,36.5,33.3,22.2,7.9,0.0,0
ECE,3204,Analog Electronics,Zhou,12713,3,3.15,45,35.6,44.4,20.0,0.0,0.0,0
ECE,3274,Elctrnc Circuits Lab II,Cooper,12714,1,3.40,15,46.7,46.7,6.7,0.0,0.0,0
ECE,3274,Elctrnc Circuits Lab II,Cooper,12715,1,3.74,14,71.4,28.6,0.0,0.0,0.0,0
ECE,3274,Elctrnc Circuits Lab II,Cooper,12716,1,3.66,16,68.8,25.0,6.3,0.0,0.0,0
ECE,3274,Elctrnc Circuits Lab II,Cooper,12717,1,3.50,16,50.0,50.0,0.0,0.0,0.0,0
ECE,3274,Elctrnc Circuits Lab II,Cooper,12718,1,3.56,12,66.7,25.0,8.3,0.0,0.0,0
ECE,3274,Elctrnc Circuits Lab II,Cooper,12719,1,3.54,13,53.8,46.2,0.0,0.0,0.0,0
ECE,3304,Introduction to Power Systems,Tam,12720,3,2.66,46,15.2,45.7,34.8,0.0,4.3,1
ECE,3354,Power Laboratory,Cooper,12721,1,2.88,12,33.3,25.0,33.3,8.3,0.0,1
ECE,3354,Power Laboratory,Cooper,12722,1,3.04,15,46.7,26.7,13.3,6.7,6.7,0
ECE,3354,Power Laboratory,Cooper,12723,1,3.13,12,50.0,33.3,8.3,8.3,0.0,0
ECE,3354,Power Laboratory,Cooper,12724,1,3.51,15,66.7,33.3,0.0,0.0,0.0,0
ECE,3354,Power Laboratory,Cooper,12726,1,3.23,16,43.8,37.5,12.5,6.3,0.0,0
ECE,3544,Digital Design I,Schaumont,12727,4,3.14,51,47.1,35.3,15.7,0.0,2.0,0
ECE,3574,Applied Software Design,Barbalace,12728,3,2.95,113,33.6,39.8,21.2,2.7,2.7,6
ECE,3614,Intro Comm Systems,Dhillon,12729,3,2.78,62,24.2,38.7,30.6,4.8,1.6,3
ECE,3614,Intro Comm Systems,Saad,12730,3,2.14,54,7.4,35.2,31.5,18.5,7.4,5
ECE,3704,Cont and Disc Systems,Beex,12731,3,2.27,22,9.1,40.9,36.4,4.5,9.1,4
ECE,4114,Antennas,Safaai-Jazi,12732,3,2.95,25,32.0,40.0,20.0,8.0,0.0,2
ECE,4124,Radio Wave Propagation,Baker,12733,3,3.10,21,57.1,14.3,9.5,19.0,0.0,0
ECE,4206,Electronic Circuit Design,Sable,12736,3,3.73,12,100.0,0.0,0.0,0.0,0.0,0
ECE,4214,Semiconductor Device Fund,Hudait,12737,3,3.58,49,63.3,36.7,0.0,0.0,0.0,0
ECE,4304,Design in Power Engineering,Centeno,12738,3,3.58,16,75.0,18.8,6.3,0.0,0.0,0
ECE,4344,Power Quality for Digital Econ,Tam,12739,3,2.86,17,17.6,58.8,17.6,5.9,0.0,0
ECE,4354,Power System Protection,De La Reelopez,12740,3,2.73,17,35.3,17.6,35.3,11.8,0.0,0
ECE,4364,Alternate Energy Systems,Rahman,12741,3,2.49,34,20.6,29.4,32.4,17.6,0.0,1
ECE,4514,Digital Design II,Athanas,12743,4,3.25,22,54.5,22.7,18.2,4.5,0.0,3
ECE,4524,Artif Intellig and Engr Appl,Abbott,12744,4,2.49,20,25.0,25.0,30.0,15.0,5.0,2
ECE,4534,Embedded System Design,Jones,12745,4,2.74,20,35.0,35.0,10.0,15.0,5.0,1
ECE,4534,Embedded System Design,Plassmann,12746,4,3.38,24,58.3,33.3,4.2,0.0,4.2,0
ECE,4550,Real-Time Systems,Ravindran,12747,3,3.63,10,60.0,40.0,0.0,0.0,0.0,0
ECE,4560,Comp and Net Security Fund,Marchany,12748,3,3.43,74,56.8,31.1,10.8,1.4,0.0,2
ECE,4574,Large Software Dev Engr Sys,Jones,12749,3,3.53,24,66.7,20.8,12.5,0.0,0.0,0
ECE,4806,Senior Design Project,Manzo,12757,3,3.92,59,96.6,0.0,3.4,0.0,0.0,1
ECE,5106,Electromagnetic Waves,Xu,12795,3,3.82,17,76.5,23.5,0.0,0.0,0.0,0
ECE,5204,Power Semiconductor Devices,Guido,12798,3,3.60,25,64.0,36.0,0.0,0.0,0.0,0
ECE,5274,Mod & Cont 3-PH PWM Converters,Burgos,12804,3,3.69,18,77.8,16.7,5.6,0.0,0.0,0
ECE,5374,Adv Alternate Energy Systems,Rahman,12805,3,2.89,13,15.4,61.5,15.4,7.7,0.0,0
ECE,5506,Testing & Verif Digit Systems,Wang,12809,3,3.94,22,95.5,4.5,0.0,0.0,0.0,0
ECE,5534,Electronic Design Automation,Hsiao,12812,3,3.42,16,50.0,43.8,6.3,0.0,0.0,0
ECE,5586,IT Security and Trust,Brickey,12817,3,3.46,37,54.1,37.8,8.1,0.0,0.0,0
ECE,5764,Applied Linear Control,Southward,12831,3,3.36,18,61.1,27.8,0.0,11.1,0.0,0
ECE,5580,Cryptopgraphic Engineering,Schaumont,18838,3,3.83,23,91.3,8.7,0.0,0.0,0.0,0
ECE,6554,Advanced Computer Vision,Parikh,18839,3,3.93,23,100.0,0.0,0.0,0.0,0.0,0
ECE,6334,Comp Methods in Power,Mili,18848,3,3.66,12,58.3,41.7,0.0,0.0,0.0,0
ECE,6570,Adv Foundations of Networking,Hou,18935,3,3.83,17,88.2,11.8,0.0,0.0,0.0,0
ECE,2500,Computer Org & Architecture,Tokekar,19154,3,2.83,54,25.9,48.1,9.3,13.0,3.7,3
ECE,3054,Electrical Theory,Zhu,19156,3,2.47,45,17.8,42.2,22.2,8.9,8.9,1
ECE,3254,Industrial Electronics,Odendaal,19157,3,2.66,165,21.2,41.2,24.2,9.1,4.2,2
ECE,3304,Introduction to Power Systems,Kekatos,19158,3,2.71,49,24.5,32.7,32.7,8.2,2.0,5
ECE,3704,Cont and Disc Systems,Lindner,19159,3,3.17,40,55.0,25.0,7.5,7.5,5.0,0
ECE,4580,Digital Image Processing,Xuan,19163,3,3.21,24,58.3,16.7,20.8,0.0,4.2,2
ECE,5664,Cellular Communication Systems,Reed,19164,3,3.88,25,96.0,4.0,0.0,0.0,0.0,0
ECE,5205,Basic Semiconductor Devices,Orlowski,19174,3,3.46,23,56.5,30.4,8.7,4.3,0.0,0
ECE,2014,Engr Professionalism ECE,Pendleton,19197,2,2.38,103,12.6,37.9,35.9,4.9,8.7,3
ECE,2014,Engr Professionalism ECE,Pendleton,19198,2,2.73,112,17.0,52.7,22.3,4.5,3.6,1
ECE,1574,Engr Problem Solving with C++,McPherson,19245,3,3.54,88,67.0,27.3,4.5,1.1,0.0,2
ECE,4644,Satellite Communications,Sweeney,19249,3,2.89,23,21.7,52.2,21.7,4.3,0.0,0
ECE,5634,Information Theory,MacKenzie,19256,3,3.73,11,72.7,27.3,0.0,0.0,0.0,0
ECE,4614,Telecommunication Networks,Clancy,19296,3,3.20,50,38.0,54.0,6.0,2.0,0.0,3
ECE,5566,Network Arch and Protocols,Yang,19298,3,3.58,17,52.9,47.1,0.0,0.0,0.0,0
ECE,5654,Dig Comm Adv Theory & Analy,Buehrer,19302,3,3.15,16,37.5,43.8,18.8,0.0,0.0,0
ECE,4504,Computer Organization,Feng,19639,3,2.82,23,34.8,26.1,30.4,8.7,0.0,1
ECE,5560,Fundamentals of Info Security,Park,19855,3,3.46,14,57.1,35.7,7.1,0.0,0.0,0
ECE,5484,Fundamentals Computer Systems,Yang,20123,3,3.53,36,72.2,16.7,8.3,0.0,2.8,0
ECE,5486,Networks and Protocols,Raymond,20124,3,3.59,21,66.7,28.6,4.8,0.0,0.0,0
ECE,5984,SS: Embedded Power Mgmt,Lee,20173,3,3.72,27,85.2,14.8,0.0,0.0,0.0,0
ECE,4806,Senior Design Project,Manzo,20180,3,4.00,27,100.0,0.0,0.0,0.0,0.0,0
ECE,3274,Elctrnc Circuits Lab II,Cooper,20210,1,3.65,15,73.3,20.0,6.7,0.0,0.0,0
ECE,3354,Power Laboratory,Cooper,20211,1,3.25,15,40.0,53.3,6.7,0.0,0.0,0
ECE,5984,SS:Advanced Real-Time Systems,Ravindran,20393,3,3.61,18,61.1,38.9,0.0,0.0,0.0,0

